AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;CD_PROGRAMA_IES;NM_PROGRAMA_IES;CD_CURSO_PPG;NM_CURSO;NM_GRAU_CURSO;CD_CONCEITO_CURSO;AN_INICIO_PREVISTO;DS_SITUACAO_CURSO;DT_SITUACAO_CURSO;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2017;MULTIDISCIPLINAR;ENSINO;NÃO SE APLICA;NÃO SE APLICA;46;ENSINO;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;AM;MANAUS;12001015171P3;CIENCIAS E HUMANIDADES;12001015171M3;CIÊNCIAS E HUMANIDADES;MESTRADO;3;2017;EM FUNCIONAMENTO;08DEC2016:00:00:00;168752;102630
2017;CIÊNCIAS DA SAÚDE;MEDICINA;NÃO SE APLICA;NÃO SE APLICA;15;MEDICINA I;32002017;8;UFV;UNIVERSIDADE FEDERAL DE VIÇOSA;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;MG;VIÇOSA;32002017050P4;CIÊNCIAS DA SAÚDE;32002017050F7;MESTRADO PROFISSIONAL EM CIÊNCIAS DA SAÚDE;MESTRADO PROFISSIONAL;3;2016;EM FUNCIONAMENTO;17MAR2017:00:00:00;173518;107066
2017;CIÊNCIAS SOCIAIS APLICADAS;ECONOMIA;NÃO SE APLICA;NÃO SE APLICA;28;ECONOMIA;32001010;575;UFMG;UNIVERSIDADE FEDERAL DE MINAS GERAIS;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;MG;BELO HORIZONTE;32001010013P5;ECONOMIA;32001010013M5;ECONOMIA;MESTRADO;6;1968;EM FUNCIONAMENTO;18SEP2012:00:00:00;172172;105871
2017;CIÊNCIAS SOCIAIS APLICADAS;ADMINISTRAÇÃO;CIÊNCIAS CONTÁBEIS;NÃO SE APLICA;27;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;32001010;575;UFMG;UNIVERSIDADE FEDERAL DE MINAS GERAIS;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;MG;BELO HORIZONTE;32001010078P0;CONTROLADORIA E CONTABILIDADE;32001010078M0;CONTROLADORIA E CONTABILIDADE;MESTRADO;4;2007;EM FUNCIONAMENTO;26MAR2018:00:00:00;172229;105906
2017;CIÊNCIAS HUMANAS;SOCIOLOGIA;NÃO SE APLICA;NÃO SE APLICA;34;SOCIOLOGIA;31004016;547;UERJ;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31004016020P8;CIÊNCIAS SOCIAIS;31004016020D9;CIÊNCIAS SOCIAIS;DOUTORADO;5;1999;EM FUNCIONAMENTO;18SEP2012:00:00:00;171871;105583
2017;MULTIDISCIPLINAR;INTERDISCIPLINAR;ENGENHARIA/TECNOLOGIA/GESTÃO;NÃO SE APLICA;45;INTERDISCIPLINAR;33144010;4925;UFABC;UNIVERSIDADE FEDERAL DO ABC;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;SP;SANTO ANDRÉ;33144010006P9;NANOCIÊNCIAS E MATERIAIS AVANÇADOS;33144010006M9;NANOCIÊNCIAS E MATERIAIS AVANÇADOS;MESTRADO;5;2007;EM FUNCIONAMENTO;18SEP2012:00:00:00;172971;106612
2017;CIÊNCIAS DA SAÚDE;EDUCAÇÃO FÍSICA;NÃO SE APLICA;NÃO SE APLICA;21;EDUCAÇÃO FÍSICA;50001019;1;UFMT;UNIVERSIDADE FEDERAL DE MATO GROSSO;FEDERAL;PÚBLICA;UNIVERSIDADE;CENTRO-OESTE;MT;CUIABÁ;50001019035P0;EDUCAÇÃO FÍSICA;50001019035M0;EDUCAÇÃO FÍSICA;MESTRADO;3;2012;EM FUNCIONAMENTO;21DEC2012:00:00:00;163522;97484
2017;CIÊNCIAS DA SAÚDE;MEDICINA;CLÍNICA MÉDICA;DOENÇAS INFECCIOSAS E PARASITÁRIAS;16;MEDICINA II;52001016;584;UFG;UNIVERSIDADE FEDERAL DE GOIÁS;FEDERAL;PÚBLICA;UNIVERSIDADE;CENTRO-OESTE;GO;GOIÂNIA;52001016003P6;MEDICINA TROPICAL E SAÚDE PÚBLICA;52001016003D7;MEDICINA TROPICAL E SAÚDE PÚBLICA;DOUTORADO;5;2002;EM FUNCIONAMENTO;08MAR2018:00:00:00;164478;98352
2017;MULTIDISCIPLINAR;INTERDISCIPLINAR;SOCIAIS E HUMANIDADES;NÃO SE APLICA;45;INTERDISCIPLINAR;52001016;584;UFG;UNIVERSIDADE FEDERAL DE GOIÁS;FEDERAL;PÚBLICA;UNIVERSIDADE;CENTRO-OESTE;GO;GOIÂNIA;52001016058P5;PERFORMANCES CULTURAIS;52001016058D6;PERFORMANCES CULTURAIS;DOUTORADO;3;2015;EM FUNCIONAMENTO;10APR2018:00:00:00;164479;98353
2017;CIÊNCIAS SOCIAIS APLICADAS;ADMINISTRAÇÃO;NÃO SE APLICA;NÃO SE APLICA;27;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;33004102;NI;UNESP-JAB;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( JABOTICABAL );ESTADUAL;PÚBLICA;NÃO INFORMADO;SUDESTE;SP;JABOTICABAL;33004102073P5;ADMINISTRAÇÃO;33004102073F8;ADMINISTRAÇÃO;MESTRADO PROFISSIONAL;3;2015;EM FUNCIONAMENTO;23APR2015:00:00:00;164060;98002
2017;CIÊNCIAS DA SAÚDE;ODONTOLOGIA;NÃO SE APLICA;NÃO SE APLICA;18;ODONTOLOGIA;33004030;NI;UNESP-ARAR;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( ARARAQUARA );ESTADUAL;PÚBLICA;NÃO INFORMADO;SUDESTE;SP;ARARAQUARA;33004030010P2;CIÊNCIAS ODONTOLÓGICAS;33004030010D3;CIÊNCIAS ODONTOLÓGICAS;DOUTORADO;5;1983;EM FUNCIONAMENTO;18SEP2012:00:00:00;164133;98055
2017;CIÊNCIAS BIOLÓGICAS;BIOLOGIA GERAL;NÃO SE APLICA;NÃO SE APLICA;6;CIÊNCIAS BIOLÓGICAS I;31004016;547;UERJ;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31004016017P7;BIOLOGIA HUMANA E EXPERIMENTAL;31004016017D8;BIOLOGIA HUMANA E EXPERIMENTAL;DOUTORADO;4;2003;EM FUNCIONAMENTO;18SEP2012:00:00:00;160716;95322
2017;CIÊNCIAS DA SAÚDE;ODONTOLOGIA;NÃO SE APLICA;NÃO SE APLICA;18;ODONTOLOGIA;33119015;NI;SLMANDIC;CENTRO DE PESQUISAS ODONTOLOGICAS SAO LEOPOLDO MANDIC;PARTICULAR;PRIVADA;NÃO INFORMADO;SUDESTE;SP;CAMPINAS;33119015002P6;ODONTOLOGIA;33119015002D7;CIÊNCIAS ODONTOLÓGICAS;DOUTORADO;4;2005;EM FUNCIONAMENTO;18SEP2012:00:00:00;165143;99316
2017;CIÊNCIAS HUMANAS;ANTROPOLOGIA;NÃO SE APLICA;NÃO SE APLICA;35;ANTROPOLOGIA / ARQUEOLOGIA;41001010;585;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;FEDERAL;PÚBLICA;UNIVERSIDADE;SUL;SC;FLORIANÓPOLIS;41001010017P0;ANTROPOLOGIA SOCIAL;41001010017D0;ANTROPOLOGIA SOCIAL;DOUTORADO;5;1999;EM FUNCIONAMENTO;18SEP2012:00:00:00;165431;99575
2017;CIÊNCIAS DA SAÚDE;MEDICINA;CLÍNICA MÉDICA;ENDOCRINOLOGIA;15;MEDICINA I;31001017;586;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31001017044P5;MEDICINA (ENDOCRINOLOGIA);31001017044D6;MEDICINA (ENDOCRINOLOGIA);DOUTORADO;5;1980;EM FUNCIONAMENTO;18SEP2012:00:00:00;167796;101732
2017;CIÊNCIAS EXATAS E DA TERRA;MATEMÁTICA;NÃO SE APLICA;NÃO SE APLICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA;42001013;581;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;FEDERAL;PÚBLICA;UNIVERSIDADE;SUL;RS;PORTO ALEGRE;42001013003P8;MATEMÁTICA;42001013003M8;MATEMÁTICA;MESTRADO;5;1978;EM FUNCIONAMENTO;18SEP2012:00:00:00;166717;100744
2017;CIÊNCIAS EXATAS E DA TERRA;GEOCIÊNCIAS;NÃO SE APLICA;NÃO SE APLICA;5;GEOCIÊNCIAS;15001016;569;UFPA;UNIVERSIDADE FEDERAL DO PARÁ;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PA;BELÉM;15001016017P2;GEOLOGIA E GEOQUÍMICA;15001016017D3;GEOLOGIA E GEOQUÍMICA;DOUTORADO;6;1992;EM FUNCIONAMENTO;18SEP2012:00:00:00;166472;100491
2017;CIÊNCIAS EXATAS E DA TERRA;GEOCIÊNCIAS;NÃO SE APLICA;NÃO SE APLICA;5;GEOCIÊNCIAS;15001016;569;UFPA;UNIVERSIDADE FEDERAL DO PARÁ;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PA;BELÉM;15001016017P2;GEOLOGIA E GEOQUÍMICA;15001016017M2;GEOLOGIA E GEOQUÍMICA;MESTRADO;6;1992;EM FUNCIONAMENTO;18SEP2012:00:00:00;166472;100491
2017;MULTIDISCIPLINAR;BIOTECNOLOGIA;NÃO SE APLICA;NÃO SE APLICA;48;BIOTECNOLOGIA;33004064;NI;UNESP-BOT;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( BOTUCATU );ESTADUAL;PÚBLICA;NÃO INFORMADO;SUDESTE;SP;BOTUCATU;33004064079P5;PESQUISA E DESENVOLVIMENTO (BIOTECNOLOGIA MÉDICA);33004064079F8;PESQUISA E DESENVOLVIMENTO (BIOTECNOLOGIA MÉDICA);MESTRADO PROFISSIONAL;5;2000;EM FUNCIONAMENTO;12MAR2018:00:00:00;164927;99105
2017;ENGENHARIAS;ENGENHARIA CIVIL;NÃO SE APLICA;NÃO SE APLICA;10;ENGENHARIAS I;31005012;528;PUC-RIO;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PARTICULAR;PRIVADA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31005012010P9;ENGENHARIA CIVIL;31005012010D0;ENGENHARIA CIVIL;DOUTORADO;6;1984;EM FUNCIONAMENTO;18SEP2012:00:00:00;170505;104269
2017;CIÊNCIAS BIOLÓGICAS;ZOOLOGIA;NÃO SE APLICA;NÃO SE APLICA;7;BIODIVERSIDADE;28002016;666;UEFS;UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA;ESTADUAL;PÚBLICA;UNIVERSIDADE;NORDESTE;BA;FEIRA DE SANTANA;28002016011P7;ECOLOGIA E EVOLUÇÃO;28002016011M7;ECOLOGIA E EVOLUÇÃO;MESTRADO;3;2008;EM FUNCIONAMENTO;03MAR2017:00:00:00;170909;104639
2017;CIÊNCIAS AGRÁRIAS;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;NÃO SE APLICA;NÃO SE APLICA;42;CIÊNCIAS AGRÁRIAS I;53001010;2;UNB;UNIVERSIDADE DE BRASÍLIA;FEDERAL;PÚBLICA;UNIVERSIDADE;CENTRO-OESTE;DF;BRASÍLIA;53001010046P3;CIÊNCIAS FLORESTAIS;53001010046D4;CIÊNCIAS FLORESTAIS;DOUTORADO;3;2004;EM FUNCIONAMENTO;18SEP2012:00:00:00;170367;104142
2017;MULTIDISCIPLINAR;CIÊNCIAS AMBIENTAIS;NÃO SE APLICA;NÃO SE APLICA;49;CIÊNCIAS AMBIENTAIS;31001017;586;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31001017145P6;CIÊNCIAS AMBIENTAIS E CONSERVAÇÃO;31001017145M6;CIÊNCIAS AMBIENTAIS E CONSERVAÇÃO;MESTRADO;4;2011;EM FUNCIONAMENTO;18DEC2012:00:00:00;168862;102719
2017;CIÊNCIAS SOCIAIS APLICADAS;DESENHO INDUSTRIAL;NÃO SE APLICA;NÃO SE APLICA;29;ARQUITETURA, URBANISMO E DESIGN;42007011;14;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;PARTICULAR;PRIVADA;UNIVERSIDADE;SUL;RS;SÃO LEOPOLDO;42007011021P4;DESIGN;42007011021D5;DOUTORADO EM DESIGN;DOUTORADO;5;2016;EM FUNCIONAMENTO;05SEP2016:00:00:00;161159;95688
2017;CIÊNCIAS SOCIAIS APLICADAS;DESENHO INDUSTRIAL;NÃO SE APLICA;NÃO SE APLICA;29;ARQUITETURA, URBANISMO E DESIGN;42007011;14;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;PARTICULAR;PRIVADA;UNIVERSIDADE;SUL;RS;SÃO LEOPOLDO;42007011021P4;DESIGN;42007011021M4;DESIGN;MESTRADO;5;2008;EM FUNCIONAMENTO;18SEP2012:00:00:00;161159;95688
2017;CIÊNCIAS SOCIAIS APLICADAS;ECONOMIA;NÃO SE APLICA;NÃO SE APLICA;28;ECONOMIA;27001016;NI;FUFSE;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;FEDERAL;PÚBLICA;NÃO INFORMADO;NORDESTE;SE;SÃO CRISTÓVÃO;27001016170P9;ECONOMIA;27001016170M9;ECONOMIA;MESTRADO;3;2015;EM FUNCIONAMENTO;22MAR2018:00:00:00;162137;96293
2017;CIÊNCIAS AGRÁRIAS;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;NÃO SE APLICA;NÃO SE APLICA;25;CIÊNCIA DE ALIMENTOS;32002017;8;UFV;UNIVERSIDADE FEDERAL DE VIÇOSA;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;MG;VIÇOSA;32002017013P1;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;32002017013D2;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;DOUTORADO;5;1994;EM FUNCIONAMENTO;12SEP2017:00:00:00;162629;96825
2017;ENGENHARIAS;ENGENHARIA MECÂNICA;NÃO SE APLICA;NÃO SE APLICA;13;ENGENHARIAS III;31003010;572;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;VOLTA REDONDA;31003010077P7;ENGENHARIA MECÂNICA - VOLTA REDONDA;31003010077M7;ENGENHARIA MECÂNICA - VOLTA REDONDA;MESTRADO;2;2011;EM DESATIVACAO;08FEB2018:00:00:00;164385;98259
2017;CIÊNCIAS DA SAÚDE;MEDICINA;CLÍNICA MÉDICA;PEDIATRIA;16;MEDICINA II;32001010;575;UFMG;UNIVERSIDADE FEDERAL DE MINAS GERAIS;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;MG;BELO HORIZONTE;32001010035P9;CIÊNCIAS DA SAÚDE;32001010035D0;CIÊNCIAS DA SAÚDE;DOUTORADO;4;1994;EM FUNCIONAMENTO;18SEP2012:00:00:00;160416;95142
2017;CIÊNCIAS HUMANAS;EDUCAÇÃO;NÃO SE APLICA;NÃO SE APLICA;38;EDUCAÇÃO;40020010;355;UTP;UNIVERSIDADE TUIUTI DO PARANÁ;PARTICULAR;PRIVADA;UNIVERSIDADE;SUL;PR;CURITIBA;40020010002P3;EDUCAÇÃO;40020010002M3;EDUCAÇÃO;MESTRADO;4;1999;EM FUNCIONAMENTO;18SEP2012:00:00:00;166975;100963
2017;CIÊNCIAS SOCIAIS APLICADAS;ADMINISTRAÇÃO;CIÊNCIAS CONTÁBEIS;NÃO SE APLICA;27;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;33002010;55;USP;UNIVERSIDADE DE SÃO PAULO;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUDESTE;SP;SÃO PAULO;33002010086P1;CONTROLADORIA E CONTABILIDADE;33002010086D2;CONTROLADORIA E CONTABILIDADE;DOUTORADO;6;1978;EM FUNCIONAMENTO;18SEP2012:00:00:00;168282;102194
2017;CIÊNCIAS SOCIAIS APLICADAS;COMUNICAÇÃO;NÃO SE APLICA;NÃO SE APLICA;31;COMUNICAÇÃO E INFORMAÇÃO;31004016;547;UERJ;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31004016033P2;COMUNICAÇÃO;31004016033D3;COMUNICAÇÃO;DOUTORADO;5;2012;EM FUNCIONAMENTO;17JAN2013:00:00:00;166167;100187
2017;MULTIDISCIPLINAR;BIOTECNOLOGIA;NÃO SE APLICA;NÃO SE APLICA;48;BIOTECNOLOGIA;40002012;9;UEL;UNIVERSIDADE ESTADUAL DE LONDRINA;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUL;PR;LONDRINA;40002012023P0;BIOTECNOLOGIA;40002012023D0;BIOTECNOLOGIA;DOUTORADO;5;2013;EM FUNCIONAMENTO;30JAN2014:00:00:00;167456;101384
2017;CIÊNCIAS DA SAÚDE;NUTRIÇÃO;NÃO SE APLICA;NÃO SE APLICA;50;NUTRIÇÃO;53001010;2;UNB;UNIVERSIDADE DE BRASÍLIA;FEDERAL;PÚBLICA;UNIVERSIDADE;CENTRO-OESTE;DF;BRASÍLIA;53001010049P2;NUTRIÇÃO HUMANA;53001010049D3;NUTRIÇÃO HUMANA;DOUTORADO;4;2009;EM FUNCIONAMENTO;14JAN2017:00:00:00;165202;99355
2017;ENGENHARIAS;ENGENHARIA ELÉTRICA;NÃO SE APLICA;NÃO SE APLICA;14;ENGENHARIAS IV;33027013;1878;FEI;CENTRO UNIVERSITARIO DA FEI;PARTICULAR;PRIVADA;NÃO INFORMADO;SUDESTE;SP;SÃO BERNARDO DO CAMPO;33027013002P8;ENGENHARIA ELÉTRICA;33027013002M8;ENGENHARIA ELÉTRICA;MESTRADO;4;2005;EM FUNCIONAMENTO;08FEB2017:00:00:00;167632;101541
2017;CIÊNCIAS HUMANAS;HISTÓRIA;NÃO SE APLICA;NÃO SE APLICA;40;HISTÓRIA;42001013;581;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;FEDERAL;PÚBLICA;UNIVERSIDADE;SUL;RS;PORTO ALEGRE;42001013043P0;HISTÓRIA;42001013043M0;HISTÓRIA;MESTRADO;6;1986;EM FUNCIONAMENTO;18SEP2012:00:00:00;163817;97774
2017;CIÊNCIAS DA SAÚDE;MEDICINA;NÃO SE APLICA;NÃO SE APLICA;15;MEDICINA I;41015010;482;UNESC;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;PARTICULAR;PRIVADA;UNIVERSIDADE;SUL;SC;CRICIÚMA;41015010003P2;CIÊNCIAS DA SAÚDE;41015010003D3;CIÊNCIAS DA SAÚDE;DOUTORADO;6;2007;EM FUNCIONAMENTO;18SEP2012:00:00:00;166009;100051
